序号,文件名,虫子编号,数量
1,00012.jpg,0,0
2,00013.jpg,398,1
3,00013.jpg,156,2
4,00016.jpg,0,0
5,00031.jpg,0,0
6,00041.jpg,0,0
7,00042.jpg,9,1
8,00047.jpg,0,0
9,00050.jpg,0,0
10,00061.jpg,156,2
11,00061.jpg,7,1
12,00070.jpg,156,2
13,00072.jpg,0,0
14,00078.jpg,0,0
15,00079.jpg,0,0
16,00082.jpg,0,0
17,00085.jpg,0,0
18,00088.jpg,10,1
19,00088.jpg,115,1
20,00091.jpg,0,0
21,00095.jpg,0,0
22,00098.jpg,0,0
23,00099.jpg,0,0
24,00103.jpg,7,1
25,00109.jpg,156,1
26,00117.jpg,0,0
27,00138.jpg,0,0
28,00142.jpg,280,2
29,00148.jpg,0,0
30,00149.jpg,0,0
31,00157.jpg,0,0
32,00164.jpg,0,0
33,00166.jpg,480,1
34,00166.jpg,280,1
35,00178.jpg,0,0
36,00182.jpg,0,0
37,00187.jpg,0,0
38,00190.jpg,256,1
39,00192.jpg,0,0
40,00194.jpg,156,1
41,00198.jpg,10,1
42,00200.jpg,0,0
43,00201.jpg,0,0
44,00204.jpg,8,1
45,00204.jpg,228,1
46,00206.jpg,0,0
47,00209.jpg,156,1
48,00213.jpg,7,1
49,00220.jpg,9,1
50,00220.jpg,10,1
51,00224.jpg,0,0
52,00225.jpg,280,1
53,00225.jpg,7,1
54,00229.jpg,0,0
55,00246.jpg,0,0
56,00248.jpg,0,0
57,00253.jpg,0,0
58,00255.jpg,156,1
59,00258.jpg,0,0
60,00264.jpg,0,0
61,00267.jpg,10,1
62,00275.jpg,115,1
63,00281.jpg,256,1
64,00284.jpg,0,0
65,00285.jpg,0,0
66,00286.jpg,0,0
67,00287.jpg,148,1
68,00289.jpg,8,1
69,00291.jpg,0,0
70,00295.jpg,0,0
71,00296.jpg,0,0
72,00297.jpg,0,0
73,00301.jpg,0,0
74,00303.jpg,0,0
75,00307.jpg,0,0
76,00309.jpg,0,0
77,00310.jpg,156,1
78,00314.jpg,0,0
79,00316.jpg,0,0
80,00321.jpg,0,0
81,00324.jpg,10,1
82,00329.jpg,0,0
83,00330.jpg,0,0
84,00332.jpg,0,0
85,00347.jpg,0,0
86,00349.jpg,7,1
87,00349.jpg,105,1
88,00349.jpg,156,1
89,00353.jpg,0,0
90,00354.jpg,0,0
91,00355.jpg,10,1
92,00358.jpg,222,1
93,00360.jpg,0,0
94,00361.jpg,0,0
95,00372.jpg,0,0
96,00373.jpg,0,0
97,00380.jpg,0,0
98,00398.jpg,0,0
99,00401.jpg,0,0
100,00403.jpg,0,0
101,00405.jpg,0,0
102,00406.jpg,0,0
103,00412.jpg,0,0
104,00413.jpg,10,1
105,00414.jpg,0,0
106,00424.jpg,0,0
107,00430.jpg,0,0
108,00435.jpg,115,1
109,00444.jpg,7,1
110,00445.jpg,0,0
111,00450.jpg,8,1
112,00451.jpg,0,0
113,00453.jpg,0,0
114,00455.jpg,9,1
115,00455.jpg,10,1
116,00474.jpg,0,0
117,00482.jpg,0,0
118,00494.jpg,0,0
119,00495.jpg,0,0
120,00497.jpg,10,1
121,00500.jpg,0,0
122,00503.jpg,0,0
123,00521.jpg,0,0
124,00523.jpg,0,0
125,00542.jpg,0,0
126,00550.jpg,156,1
127,00552.jpg,0,0
128,00556.jpg,7,1
129,00562.jpg,0,0
130,00565.jpg,0,0
131,00572.jpg,0,0
132,00579.jpg,6,1
133,00582.jpg,0,0
134,00585.jpg,0,0
135,00587.jpg,0,0
136,00588.jpg,156,2
137,00589.jpg,0,0
138,00597.jpg,0,0
139,00605.jpg,222,1
140,00605.jpg,7,2
141,00605.jpg,156,1
142,00605.jpg,256,1
143,00613.jpg,0,0
144,00622.jpg,0,0
145,00623.jpg,7,2
146,00627.jpg,0,0
147,00643.jpg,256,1
148,00645.jpg,0,0
149,00649.jpg,0,0
150,00656.jpg,0,0
151,00663.jpg,0,0
152,00675.jpg,0,0
153,00677.jpg,0,0
154,00679.jpg,0,0
155,00680.jpg,9,1
156,00688.jpg,0,0
157,00690.jpg,0,0
158,00696.jpg,0,0
159,00698.jpg,0,0
160,00702.jpg,0,0
161,00707.jpg,280,1
162,00708.jpg,0,0
163,00710.jpg,0,0
164,00714.jpg,0,0
165,00721.jpg,0,0
166,00723.jpg,148,1
